# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
0, 2, 2, 4
1, 2, 2, 3
2, 2, 2, 3
3, 2, 1, 0
4, 3, 2, 3
5, 2, 3, 4
6, 2, 4, 1
7, 2, 0, 2
8, 1, 3, 2
9, 4, 4, 3
10, 1, 2, 4
11, 5, 3, 4
12, 2, 1, 2
13, 2, 1, 4
14, 5, 1, 2
15, 1, 3, 3
16, 2, 2, 0
17, 4, 0, 1
18, 5, 4, 4
19, 2, 1, 3
20, 3, 4, 4
21, 2, 2, 4
22, 4, 4, 2
23, 4, 3, 3
24, 5, 2, 1
25, 5, 0, 3
26, 4, 0, 2
27, 4, 0, 1
28, 4, 2, 0
29, 1, 1, 4
30, 5, 0, 2
31, 1, 4, 2
32, 4, 3, 3
33, 5, 0, 1
34, 2, 4, 2
35, 2, 4, 1
36, 4, 2, 1
37, 1, 1, 1
38, 4, 0, 0
39, 3, 3, 2
40, 1, 4, 2
41, 4, 0, 4
42, 1, 3, 2
43, 2, 1, 2
44, 4, 0, 0
45, 4, 1, 3
46, 4, 3, 3
47, 2, 2, 2
48, 1, 3, 3
49, 3, 3, 3
50, 1, 1, 1
51, 3, 2, 2
52, 5, 4, 3
53, 3, 4, 3
54, 3, 2, 2
55, 1, 1, 2
56, 4, 2, 4
57, 5, 2, 2
58, 3, 2, 4
59, 1, 0, 3
60, 1, 0, 1
61, 3, 3, 0
62, 1, 0, 0
63, 4, 0, 1
64, 5, 4, 1
65, 3, 2, 2
66, 1, 2, 4
67, 3, 2, 0
68, 1, 1, 0
69, 1, 3, 2
70, 4, 4, 0
71, 2, 0, 1
72, 4, 0, 4
73, 3, 2, 3
74, 3, 2, 4
75, 1, 2, 4
76, 3, 0, 3
77, 5, 2, 4
78, 2, 1, 4
79, 4, 0, 3
80, 4, 1, 0
81, 2, 1, 0
82, 1, 3, 2
83, 3, 2, 2
84, 3, 1, 2
85, 1, 3, 4
86, 1, 2, 4
87, 5, 3, 1
88, 2, 4, 3
89, 2, 2, 1
90, 2, 4, 4
91, 4, 0, 0
92, 3, 3, 2
93, 3, 3, 0
94, 1, 2, 3
95, 5, 1, 3
96, 5, 3, 2
97, 4, 3, 4
