# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
0, 4, 1, 2
1, 5, 4, 2
2, 2, 4, 0
3, 2, 4, 0
4, 1, 4, 1
5, 5, 0, 1
6, 1, 2, 2
7, 3, 2, 2
8, 2, 2, 2
9, 1, 4, 0
10, 4, 1, 1
11, 1, 1, 3
12, 5, 2, 2
13, 5, 3, 4
14, 2, 3, 0
15, 4, 3, 3
16, 4, 4, 1
17, 2, 3, 0
18, 4, 4, 2
19, 5, 3, 2
20, 1, 4, 0
21, 4, 1, 2
22, 3, 3, 1
23, 3, 2, 1
24, 3, 2, 4
25, 1, 3, 0
26, 1, 3, 4
27, 5, 1, 4
28, 2, 4, 2
29, 2, 0, 2
30, 3, 2, 4
31, 2, 2, 3
32, 2, 0, 2
33, 3, 3, 0
34, 3, 1, 2
35, 3, 1, 4
36, 2, 0, 1
37, 5, 0, 0
38, 2, 0, 3
39, 3, 4, 1
40, 5, 2, 1
41, 5, 2, 3
42, 3, 4, 3
43, 4, 4, 3
44, 2, 1, 4
45, 1, 3, 1
46, 4, 1, 4
47, 3, 0, 2
48, 1, 4, 4
49, 5, 4, 1
50, 5, 2, 3
51, 3, 2, 4
52, 2, 4, 4
53, 5, 2, 4
54, 5, 3, 4
55, 3, 1, 4
56, 4, 4, 4
57, 5, 2, 1
58, 5, 2, 4
59, 5, 0, 2
60, 1, 1, 4
61, 4, 1, 1
62, 1, 0, 2
63, 4, 0, 4
64, 1, 0, 4
65, 2, 4, 4
66, 1, 1, 1
67, 5, 0, 0
68, 5, 4, 0
69, 3, 3, 2
70, 1, 3, 2
71, 3, 2, 0
72, 3, 4, 4
73, 1, 3, 2
74, 4, 3, 0
75, 2, 2, 2
76, 5, 0, 4
77, 1, 2, 1
78, 3, 0, 4
79, 4, 4, 0
80, 5, 4, 4
81, 2, 4, 3
82, 3, 3, 3
83, 5, 1, 3
84, 2, 3, 4
85, 2, 3, 2
86, 2, 0, 3
87, 5, 0, 2
88, 3, 2, 0
89, 3, 0, 2
90, 1, 2, 0
91, 2, 4, 2
92, 5, 3, 4
93, 1, 3, 3
94, 2, 2, 2
95, 3, 1, 4
96, 1, 2, 4
97, 3, 2, 3
98, 5, 3, 4
99, 4, 2, 1
100, 4, 3, 0
101, 3, 1, 1
102, 4, 3, 4
103, 5, 3, 3
104, 4, 1, 3
105, 3, 0, 0
106, 5, 0, 3
107, 4, 0, 2
108, 1, 4, 2
109, 2, 2, 2
110, 3, 0, 0
111, 2, 1, 4
112, 1, 3, 0
113, 4, 4, 4
114, 3, 2, 1
115, 5, 3, 0
116, 5, 4, 2
117, 4, 2, 3
118, 2, 4, 2
119, 3, 1, 2
120, 3, 0, 0
121, 4, 2, 0
122, 5, 1, 1
123, 3, 0, 1
124, 5, 1, 3
125, 1, 4, 0
126, 2, 1, 3
127, 2, 1, 1
128, 3, 4, 1
129, 3, 2, 1
130, 3, 3, 4
131, 4, 1, 2
132, 3, 3, 3
133, 3, 0, 0
134, 3, 2, 2
135, 4, 2, 3
136, 5, 0, 3
137, 2, 2, 0
138, 1, 0, 0
139, 3, 3, 2
140, 5, 0, 2
141, 1, 1, 1
142, 5, 4, 1
143, 1, 0, 4
144, 1, 1, 1
145, 5, 1, 1
146, 5, 2, 3
147, 4, 3, 4
148, 3, 2, 2
149, 3, 1, 0
150, 3, 4, 2
151, 3, 3, 1
152, 2, 0, 4
153, 2, 4, 0
154, 5, 4, 1
155, 2, 4, 0
156, 2, 2, 4
157, 5, 4, 1
158, 4, 4, 4
159, 2, 0, 3
160, 3, 1, 2
161, 5, 3, 0
162, 1, 0, 4
163, 1, 0, 0
164, 5, 1, 3
165, 1, 0, 3
166, 2, 1, 1
167, 2, 2, 4
168, 2, 4, 0
169, 4, 4, 1
170, 2, 3, 2
171, 5, 2, 4
172, 2, 4, 3
173, 5, 4, 0
174, 5, 1, 3
175, 5, 0, 0
176, 1, 3, 0
177, 1, 2, 1
178, 3, 4, 4
179, 5, 0, 3
180, 5, 3, 3
181, 3, 4, 0
182, 3, 1, 3
183, 2, 3, 3
184, 2, 2, 0
185, 3, 1, 3
186, 5, 3, 0
187, 3, 0, 0
188, 5, 2, 3
189, 1, 2, 1
190, 3, 0, 3
191, 4, 2, 4
192, 5, 1, 4
193, 2, 2, 2
194, 5, 0, 3
195, 3, 0, 1
196, 3, 1, 0
197, 3, 3, 2
198, 1, 2, 4
199, 1, 2, 2
200, 2, 3, 4
201, 2, 1, 1
202, 1, 3, 3
203, 3, 1, 4
204, 1, 0, 0
205, 5, 2, 3
206, 3, 3, 3
207, 4, 4, 4
208, 3, 4, 0
209, 2, 0, 3
210, 2, 3, 1
211, 2, 1, 3
212, 5, 1, 3
213, 2, 4, 2
214, 3, 1, 2
215, 4, 3, 0
216, 2, 4, 4
217, 2, 2, 3
218, 3, 3, 4
219, 5, 3, 0
220, 4, 1, 2
221, 2, 1, 0
222, 4, 4, 0
223, 1, 3, 0
224, 5, 0, 1
225, 5, 3, 2
226, 2, 2, 0
227, 4, 2, 1
228, 1, 0, 1
229, 1, 3, 1
230, 4, 1, 0
231, 2, 2, 4
232, 3, 4, 0
233, 5, 3, 1
234, 2, 4, 1
235, 2, 3, 0
236, 1, 3, 0
237, 2, 0, 0
238, 2, 3, 0
239, 2, 1, 2
240, 3, 2, 4
241, 5, 3, 1
242, 1, 3, 0
243, 3, 3, 2
244, 4, 4, 2
245, 2, 2, 1
246, 3, 4, 2
247, 5, 2, 2
248, 2, 1, 3
249, 5, 0, 3
250, 5, 2, 1
251, 3, 3, 2
252, 1, 3, 2
253, 2, 0, 2
254, 4, 0, 1
255, 3, 0, 0
256, 4, 2, 0
257, 5, 3, 3
258, 2, 4, 4
259, 1, 4, 2
260, 5, 4, 4
261, 5, 1, 3
262, 3, 0, 2
263, 3, 4, 2
264, 4, 2, 3
265, 3, 4, 1
266, 1, 1, 2
267, 3, 0, 0
268, 4, 0, 2
269, 2, 3, 0
270, 5, 0, 2
271, 1, 0, 0
272, 1, 2, 3
273, 1, 2, 0
274, 2, 2, 3
275, 3, 1, 3
276, 2, 0, 3
277, 5, 2, 0
278, 1, 0, 1
279, 1, 3, 1
280, 4, 0, 4
281, 3, 2, 4
282, 3, 4, 2
283, 2, 1, 0
284, 2, 3, 2
285, 2, 2, 0
286, 4, 3, 4
287, 5, 0, 4
288, 1, 0, 4
289, 2, 0, 0
290, 3, 0, 1
291, 3, 4, 3
292, 3, 2, 3
293, 1, 1, 2
294, 3, 1, 1
295, 5, 4, 3
296, 4, 1, 3
297, 4, 4, 1
298, 1, 3, 1
299, 3, 0, 0
300, 2, 1, 1
301, 1, 0, 2
302, 3, 1, 4
303, 2, 0, 4
304, 4, 2, 1
305, 1, 2, 3
306, 3, 2, 3
307, 1, 4, 0
308, 3, 0, 3
309, 3, 1, 2
310, 5, 4, 3
311, 1, 3, 3
312, 5, 3, 2
313, 5, 3, 1
314, 4, 1, 0
315, 3, 1, 2
316, 4, 0, 0
317, 2, 1, 4
318, 2, 4, 4
319, 2, 1, 3
320, 2, 2, 3
321, 1, 0, 1
322, 5, 4, 0
323, 3, 2, 2
324, 2, 4, 0
325, 1, 2, 3
326, 1, 1, 0
327, 4, 3, 4
328, 3, 1, 0
329, 3, 3, 2
330, 5, 1, 2
331, 3, 2, 2
332, 3, 1, 0
333, 2, 2, 4
334, 2, 0, 1
335, 3, 3, 3
336, 2, 1, 0
337, 2, 3, 0
338, 1, 3, 0
339, 5, 0, 1
340, 5, 3, 0
341, 4, 3, 3
342, 4, 2, 0
343, 5, 3, 2
344, 2, 1, 3
345, 5, 1, 3
346, 2, 4, 1
347, 3, 0, 4
348, 4, 1, 0
349, 5, 1, 0
350, 4, 1, 3
351, 5, 2, 4
352, 1, 2, 1
353, 5, 0, 2
354, 5, 3, 2
355, 3, 3, 3
356, 2, 2, 1
357, 5, 1, 3
358, 5, 1, 0
359, 4, 2, 3
360, 1, 4, 0
361, 2, 1, 4
362, 4, 2, 2
363, 3, 0, 0
364, 5, 0, 1
365, 5, 4, 0
366, 5, 3, 4
367, 4, 3, 1
368, 5, 0, 4
369, 1, 2, 1
370, 4, 4, 3
371, 3, 4, 2
372, 1, 3, 1
373, 5, 1, 2
374, 3, 4, 2
375, 1, 2, 4
376, 4, 1, 3
377, 1, 2, 1
378, 3, 2, 1
379, 3, 4, 1
380, 3, 2, 3
381, 3, 0, 1
382, 3, 2, 2
383, 3, 0, 2
384, 1, 2, 0
385, 2, 1, 3
386, 5, 3, 0
387, 2, 1, 3
388, 1, 1, 1
389, 2, 4, 1
390, 5, 1, 4
391, 5, 2, 0
392, 1, 1, 0
393, 1, 3, 0
394, 1, 2, 4
395, 3, 3, 1
396, 5, 4, 0
397, 2, 2, 0
398, 2, 0, 4
399, 4, 1, 0
400, 1, 0, 3
401, 2, 4, 2
402, 2, 2, 0
403, 3, 4, 2
404, 4, 3, 3
405, 5, 3, 4
406, 4, 2, 2
407, 5, 1, 0
408, 2, 4, 2
409, 4, 2, 2
410, 5, 4, 4
411, 3, 2, 3
412, 2, 1, 4
413, 3, 1, 3
414, 1, 1, 1
415, 2, 0, 4
416, 3, 3, 4
417, 5, 1, 3
418, 5, 1, 4
419, 4, 2, 4
420, 2, 2, 2
421, 1, 2, 3
422, 5, 3, 2
423, 4, 4, 4
424, 3, 0, 4
425, 1, 2, 3
426, 3, 2, 2
427, 3, 1, 1
428, 4, 0, 4
429, 1, 2, 1
430, 2, 0, 4
431, 4, 3, 2
432, 1, 2, 4
433, 3, 2, 2
434, 5, 4, 1
435, 3, 1, 1
436, 3, 3, 3
437, 2, 1, 2
438, 3, 4, 3
439, 1, 1, 0
440, 1, 0, 4
441, 3, 4, 4
442, 3, 3, 4
443, 2, 4, 2
444, 1, 0, 4
445, 5, 1, 1
446, 2, 1, 4
447, 2, 4, 0
448, 2, 2, 0
449, 5, 3, 3
450, 1, 2, 0
451, 2, 4, 2
452, 1, 0, 3
453, 4, 3, 2
454, 4, 0, 1
455, 4, 0, 3
456, 5, 2, 0
457, 1, 1, 3
458, 5, 2, 3
459, 4, 2, 3
460, 4, 4, 1
461, 2, 2, 4
462, 3, 3, 0
463, 2, 4, 3
464, 2, 4, 0
465, 1, 3, 2
466, 5, 2, 1
467, 1, 1, 4
468, 1, 2, 4
469, 3, 0, 0
470, 2, 1, 0
471, 2, 0, 2
472, 2, 2, 4
473, 1, 3, 1
474, 4, 0, 1
475, 4, 3, 4
476, 2, 1, 4
477, 3, 0, 0
478, 5, 1, 3
479, 1, 4, 1
480, 4, 0, 3
481, 5, 2, 1
482, 3, 1, 0
483, 2, 4, 0
484, 4, 0, 4
485, 1, 3, 0
486, 3, 0, 4
487, 1, 1, 0
488, 3, 4, 3
489, 2, 0, 4
490, 4, 4, 0
491, 3, 4, 1
492, 1, 0, 4
493, 3, 4, 3
494, 4, 1, 2
495, 5, 3, 4
496, 1, 4, 4
497, 3, 4, 2
498, 5, 2, 0
499, 3, 3, 1
500, 1, 0, 4
501, 3, 4, 3
502, 2, 3, 4
503, 1, 0, 0
504, 4, 3, 4
505, 4, 2, 2
506, 4, 1, 0
507, 4, 0, 2
508, 1, 3, 4
509, 4, 3, 1
510, 3, 3, 4
511, 5, 1, 4
512, 3, 3, 4
513, 3, 2, 2
514, 2, 4, 3
515, 2, 2, 0
516, 3, 1, 1
517, 1, 4, 2
518, 5, 0, 4
519, 2, 3, 4
520, 5, 0, 4
521, 2, 2, 2
522, 4, 0, 1
523, 3, 1, 4
524, 3, 0, 2
525, 5, 1, 1
526, 3, 0, 3
527, 5, 2, 4
528, 1, 3, 1
529, 2, 3, 0
530, 4, 2, 4
531, 2, 1, 4
532, 2, 1, 1
533, 4, 4, 0
534, 1, 2, 4
535, 1, 0, 2
536, 4, 3, 1
537, 2, 3, 3
538, 2, 4, 3
539, 3, 1, 0
540, 1, 4, 1
541, 3, 0, 0
542, 4, 2, 3
543, 5, 0, 4
544, 4, 2, 2
545, 2, 1, 3
546, 1, 2, 1
547, 4, 0, 4
548, 4, 1, 4
549, 4, 0, 2
550, 5, 0, 4
551, 5, 4, 3
552, 3, 1, 0
553, 3, 2, 3
554, 3, 4, 0
555, 4, 0, 0
556, 1, 2, 3
557, 5, 3, 2
558, 2, 1, 1
559, 4, 4, 0
560, 3, 4, 0
561, 2, 1, 2
562, 4, 3, 1
563, 3, 1, 2
564, 3, 3, 4
565, 1, 4, 0
566, 4, 0, 4
567, 3, 0, 3
568, 2, 4, 4
569, 5, 3, 2
570, 4, 3, 4
571, 3, 0, 1
572, 2, 0, 3
573, 1, 3, 0
574, 5, 0, 3
575, 1, 1, 1
576, 3, 0, 0
577, 5, 1, 4
578, 2, 2, 1
579, 5, 1, 2
580, 1, 0, 3
581, 3, 2, 2
582, 2, 2, 4
583, 2, 0, 0
584, 5, 3, 2
585, 1, 2, 0
586, 2, 4, 4
587, 2, 4, 2
588, 5, 3, 0
589, 2, 3, 0
590, 3, 1, 1
591, 5, 3, 2
592, 2, 4, 2
593, 5, 2, 1
594, 4, 0, 0
595, 2, 0, 1
596, 2, 1, 0
597, 4, 2, 4
598, 4, 1, 0
599, 2, 0, 4
600, 1, 3, 2
601, 5, 4, 4
602, 2, 3, 1
603, 1, 1, 0
604, 1, 3, 3
605, 4, 2, 0
606, 2, 0, 2
607, 2, 0, 1
608, 1, 1, 2
609, 5, 1, 3
610, 1, 2, 0
611, 5, 0, 0
612, 2, 0, 2
613, 5, 0, 0
614, 3, 4, 1
615, 3, 2, 3
616, 4, 0, 3
617, 5, 0, 3
618, 5, 1, 1
619, 2, 2, 1
620, 5, 4, 0
621, 3, 0, 2
622, 5, 4, 2
623, 3, 2, 3
624, 1, 2, 2
625, 2, 4, 0
626, 2, 2, 2
627, 2, 2, 2
628, 5, 0, 3
629, 5, 1, 4
630, 1, 2, 2
631, 2, 1, 2
632, 4, 4, 1
633, 2, 1, 3
634, 2, 0, 2
635, 1, 0, 1
636, 3, 4, 4
637, 1, 0, 1
638, 3, 0, 1
639, 1, 1, 4
640, 4, 1, 4
641, 4, 2, 0
642, 1, 0, 3
643, 5, 0, 2
644, 2, 4, 2
645, 1, 1, 2
646, 4, 1, 4
647, 4, 3, 1
648, 2, 3, 0
649, 4, 1, 3
650, 4, 1, 1
651, 1, 1, 1
652, 1, 0, 2
653, 3, 3, 0
654, 5, 3, 3
655, 1, 0, 0
656, 1, 1, 0
657, 5, 0, 3
658, 2, 2, 1
659, 1, 3, 4
660, 1, 2, 4
661, 3, 2, 2
662, 5, 1, 4
663, 3, 4, 3
664, 2, 0, 4
665, 2, 4, 1
666, 5, 3, 2
667, 3, 1, 0
668, 4, 0, 4
669, 4, 0, 2
670, 4, 4, 4
671, 5, 1, 0
672, 2, 1, 4
673, 3, 3, 0
674, 1, 4, 0
675, 3, 2, 1
676, 1, 4, 2
677, 3, 1, 2
678, 2, 0, 2
679, 2, 3, 3
680, 4, 2, 1
681, 5, 2, 2
682, 4, 4, 3
683, 4, 3, 4
684, 3, 0, 2
685, 1, 0, 0
686, 3, 0, 1
687, 3, 0, 1
688, 3, 2, 2
689, 3, 3, 1
690, 3, 0, 2
691, 5, 2, 2
692, 2, 2, 3
693, 5, 4, 4
694, 3, 1, 4
695, 3, 0, 2
696, 4, 1, 1
697, 2, 3, 4
698, 5, 3, 4
699, 3, 0, 4
700, 4, 4, 3
701, 1, 3, 3
702, 5, 3, 0
703, 1, 2, 3
704, 4, 1, 2
705, 3, 1, 1
706, 4, 2, 1
707, 2, 3, 1
708, 1, 4, 3
709, 5, 1, 2
710, 1, 2, 3
711, 1, 0, 3
712, 4, 0, 4
713, 3, 4, 0
714, 3, 4, 4
715, 4, 2, 1
716, 1, 0, 2
717, 2, 0, 2
718, 3, 0, 2
719, 4, 3, 1
720, 4, 4, 1
721, 2, 2, 4
722, 1, 2, 3
723, 2, 4, 0
724, 2, 4, 1
725, 1, 2, 1
726, 3, 3, 0
727, 1, 3, 2
728, 1, 4, 1
729, 1, 4, 0
730, 5, 1, 2
731, 5, 1, 2
732, 5, 0, 4
733, 5, 3, 1
734, 2, 0, 4
735, 2, 1, 1
736, 2, 1, 1
737, 5, 0, 1
738, 4, 4, 0
739, 4, 4, 0
740, 5, 4, 4
741, 4, 3, 4
742, 2, 1, 3
743, 2, 4, 1
744, 4, 3, 0
745, 1, 4, 0
746, 1, 4, 1
747, 3, 2, 4
748, 2, 1, 0
749, 4, 0, 2
750, 4, 0, 3
751, 5, 0, 3
752, 1, 4, 4
753, 5, 4, 2
754, 2, 0, 1
755, 1, 2, 4
756, 4, 3, 3
757, 4, 0, 1
758, 3, 1, 0
759, 2, 3, 2
760, 1, 0, 3
761, 5, 4, 2
762, 2, 4, 2
763, 1, 4, 3
764, 5, 2, 1
765, 3, 2, 3
766, 2, 3, 2
767, 5, 2, 0
768, 4, 0, 2
769, 3, 3, 0
770, 2, 2, 3
771, 5, 0, 2
772, 3, 3, 4
773, 1, 4, 0
774, 2, 2, 2
775, 1, 1, 2
776, 5, 3, 0
777, 3, 2, 4
778, 5, 1, 1
779, 5, 4, 2
780, 4, 1, 3
781, 5, 4, 2
782, 2, 2, 2
783, 1, 3, 1
