# nr pierscienia, promien zewnetrzy, promien wewnetrzny, wysokosc
0, 3, 2, 0
1, 3, 2, 4
2, 5, 2, 0
3, 2, 4, 2
4, 1, 3, 2
5, 1, 3, 0
6, 3, 2, 4
7, 1, 0, 2
8, 4, 4, 4
9, 1, 2, 0
10, 1, 4, 2
11, 4, 2, 0
12, 2, 1, 2
13, 2, 0, 2
14, 2, 3, 2
15, 2, 3, 4
16, 1, 1, 4
17, 5, 3, 2
18, 3, 3, 0
19, 5, 2, 4
20, 3, 4, 0
21, 3, 4, 3
22, 4, 0, 2
23, 1, 3, 1
24, 2, 4, 4
25, 1, 0, 1
26, 4, 4, 1
27, 4, 2, 2
28, 2, 0, 3
29, 3, 0, 4
30, 4, 1, 2
31, 4, 1, 2
32, 3, 2, 0
33, 3, 4, 4
34, 3, 4, 3
35, 1, 2, 0
36, 5, 3, 1
37, 1, 3, 3
38, 4, 1, 2
39, 2, 3, 4
40, 4, 2, 2
41, 3, 0, 0
42, 4, 4, 2
43, 4, 4, 4
44, 3, 4, 3
45, 5, 0, 4
46, 1, 3, 1
47, 4, 0, 3
48, 5, 0, 4
49, 4, 2, 0
50, 4, 0, 3
51, 5, 2, 0
52, 3, 2, 2
53, 5, 0, 0
54, 1, 0, 0
55, 4, 4, 4
56, 5, 0, 3
57, 4, 0, 0
58, 1, 3, 2
59, 2, 4, 2
60, 5, 2, 3
61, 3, 0, 4
62, 2, 0, 2
63, 4, 0, 2
64, 1, 2, 4
65, 2, 2, 4
66, 5, 1, 4
67, 5, 0, 3
68, 2, 4, 0
69, 3, 3, 3
70, 2, 3, 4
71, 5, 1, 3
72, 4, 0, 0
73, 5, 1, 3
74, 5, 4, 2
75, 2, 0, 3
76, 2, 4, 1
77, 1, 3, 1
78, 3, 3, 1
79, 4, 4, 2
80, 1, 0, 3
81, 5, 4, 4
82, 5, 3, 2
83, 3, 3, 4
84, 5, 0, 1
85, 1, 1, 1
86, 5, 3, 0
87, 2, 1, 3
88, 4, 4, 4
89, 4, 3, 0
90, 5, 2, 0
91, 2, 3, 0
92, 3, 3, 1
93, 4, 0, 4
94, 4, 2, 4
95, 4, 1, 0
96, 2, 4, 4
97, 5, 0, 0
98, 2, 1, 2
99, 1, 4, 1
100, 4, 2, 2
101, 2, 3, 1
102, 2, 0, 4
103, 1, 1, 4
104, 2, 1, 3
105, 4, 1, 1
106, 5, 4, 2
107, 4, 3, 1
108, 4, 4, 3
109, 5, 4, 2
110, 3, 1, 2
111, 3, 0, 0
112, 1, 4, 0
113, 5, 0, 2
114, 2, 3, 2
115, 3, 3, 0
116, 4, 2, 2
117, 2, 1, 4
118, 2, 2, 1
119, 1, 0, 1
120, 3, 4, 1
121, 3, 3, 4
122, 1, 0, 4
123, 2, 2, 0
124, 1, 4, 4
125, 3, 1, 4
126, 5, 4, 2
127, 1, 1, 0
128, 2, 1, 2
129, 5, 4, 2
130, 5, 0, 4
131, 4, 0, 0
132, 3, 4, 2
133, 3, 3, 3
134, 5, 3, 1
135, 1, 2, 4
136, 4, 2, 3
137, 4, 1, 1
138, 5, 0, 3
139, 3, 0, 2
140, 2, 0, 0
141, 1, 3, 3
142, 2, 4, 2
143, 5, 2, 1
144, 1, 4, 3
145, 1, 0, 3
146, 2, 3, 2
147, 2, 0, 0
148, 4, 0, 0
149, 3, 4, 2
150, 2, 0, 2
151, 4, 1, 4
152, 4, 0, 2
153, 5, 1, 4
154, 4, 1, 0
155, 5, 1, 4
156, 2, 2, 0
157, 1, 2, 1
158, 1, 1, 4
159, 3, 3, 4
160, 4, 3, 1
161, 2, 4, 1
162, 1, 1, 2
163, 2, 4, 3
164, 2, 4, 4
165, 2, 0, 3
166, 5, 1, 2
167, 1, 2, 2
168, 2, 2, 4
169, 5, 0, 4
170, 3, 2, 1
171, 2, 1, 0
172, 2, 0, 0
173, 3, 3, 2
174, 5, 2, 4
175, 1, 2, 0
176, 4, 4, 3
177, 3, 3, 0
178, 1, 0, 2
179, 4, 0, 1
180, 3, 4, 1
181, 2, 3, 1
182, 1, 0, 4
183, 3, 3, 3
184, 3, 1, 3
185, 4, 2, 0
186, 4, 2, 2
187, 2, 2, 2
188, 2, 1, 4
189, 5, 2, 3
190, 1, 4, 1
191, 2, 2, 1
192, 2, 3, 0
193, 2, 3, 2
194, 3, 1, 1
195, 3, 4, 2
196, 4, 3, 4
197, 4, 0, 3
198, 2, 4, 2
199, 5, 3, 0
200, 3, 0, 0
201, 4, 3, 0
202, 4, 1, 0
203, 4, 1, 1
204, 1, 3, 2
205, 1, 2, 1
206, 4, 1, 3
207, 5, 1, 1
208, 5, 3, 2
209, 1, 0, 1
210, 3, 4, 1
211, 1, 0, 2
212, 2, 3, 3
213, 1, 2, 0
214, 5, 3, 3
215, 3, 2, 4
216, 2, 4, 2
217, 2, 3, 1
218, 5, 1, 3
219, 2, 1, 4
220, 3, 0, 4
221, 3, 2, 4
222, 3, 4, 1
223, 3, 4, 2
224, 5, 1, 0
225, 1, 2, 2
226, 2, 0, 4
227, 2, 0, 3
228, 1, 2, 1
229, 4, 3, 4
230, 1, 3, 1
231, 1, 2, 0
232, 4, 0, 1
233, 1, 0, 2
234, 1, 3, 0
235, 3, 0, 0
236, 4, 4, 1
237, 5, 1, 1
238, 5, 0, 3
239, 3, 3, 3
240, 4, 2, 1
241, 4, 0, 3
242, 4, 1, 0
243, 5, 0, 2
244, 1, 4, 3
245, 4, 4, 0
246, 2, 4, 1
247, 5, 4, 2
248, 5, 3, 0
249, 1, 0, 4
250, 3, 4, 4
251, 2, 1, 4
252, 1, 0, 4
253, 4, 3, 3
254, 2, 2, 4
255, 5, 0, 2
256, 4, 0, 2
257, 3, 2, 0
258, 2, 2, 4
259, 3, 2, 0
260, 1, 2, 0
261, 1, 2, 1
262, 5, 0, 0
263, 4, 0, 2
264, 5, 0, 4
265, 5, 0, 2
266, 5, 2, 4
267, 2, 2, 4
268, 5, 0, 2
269, 3, 4, 2
270, 3, 2, 1
271, 5, 0, 1
272, 1, 4, 0
273, 5, 2, 4
274, 2, 1, 1
275, 3, 4, 0
276, 3, 2, 2
277, 3, 0, 0
278, 1, 4, 2
279, 1, 2, 2
280, 5, 2, 0
281, 4, 1, 3
282, 3, 0, 0
283, 2, 4, 0
284, 1, 1, 3
285, 3, 1, 3
286, 2, 2, 1
287, 4, 2, 0
288, 4, 4, 2
289, 2, 4, 0
290, 5, 4, 1
291, 4, 4, 4
292, 3, 3, 3
293, 1, 2, 1
294, 1, 4, 4
295, 3, 3, 4
296, 4, 0, 0
297, 4, 2, 4
298, 5, 4, 1
299, 1, 0, 0
300, 3, 3, 0
301, 2, 4, 4
302, 3, 4, 0
303, 3, 4, 3
304, 2, 3, 3
305, 2, 1, 2
306, 2, 4, 1
307, 3, 1, 3
308, 1, 0, 2
309, 2, 4, 1
310, 2, 3, 3
311, 3, 1, 4
312, 4, 2, 2
313, 1, 0, 4
314, 3, 4, 3
315, 4, 1, 3
316, 4, 1, 4
317, 3, 4, 3
318, 3, 0, 4
319, 1, 1, 4
320, 3, 4, 0
321, 3, 3, 3
322, 5, 0, 1
323, 4, 1, 1
324, 2, 2, 1
325, 1, 4, 2
326, 2, 4, 2
327, 3, 4, 3
328, 5, 3, 2
329, 3, 0, 0
330, 1, 1, 3
331, 5, 1, 3
332, 2, 4, 4
333, 4, 1, 3
334, 3, 4, 1
335, 4, 4, 1
336, 4, 2, 0
337, 4, 2, 2
338, 3, 2, 3
339, 5, 1, 0
340, 5, 1, 4
341, 2, 4, 3
342, 2, 4, 3
343, 1, 0, 4
344, 2, 3, 3
345, 5, 3, 4
346, 1, 0, 0
347, 1, 0, 3
348, 2, 3, 0
349, 2, 1, 4
350, 1, 0, 3
351, 4, 4, 1
352, 4, 1, 4
353, 5, 1, 2
354, 4, 1, 1
355, 2, 3, 2
356, 2, 4, 2
357, 1, 4, 0
358, 2, 1, 4
359, 5, 0, 2
360, 4, 1, 4
361, 4, 4, 2
362, 4, 4, 3
363, 4, 0, 0
364, 3, 2, 2
365, 2, 4, 1
366, 5, 0, 4
367, 5, 2, 4
368, 4, 1, 2
369, 2, 4, 0
370, 5, 1, 1
371, 4, 2, 2
372, 3, 2, 1
373, 5, 3, 0
374, 2, 3, 4
375, 4, 1, 0
376, 4, 1, 3
377, 4, 2, 0
378, 5, 0, 2
379, 3, 0, 2
380, 4, 3, 3
381, 5, 0, 2
382, 3, 3, 1
383, 2, 1, 3
384, 2, 3, 3
385, 3, 2, 2
386, 5, 3, 1
387, 3, 2, 4
388, 4, 1, 0
389, 4, 0, 0
390, 3, 1, 3
391, 1, 0, 2
392, 3, 3, 3
393, 4, 1, 3
394, 2, 1, 3
395, 5, 3, 3
396, 3, 3, 4
397, 5, 4, 0
398, 3, 1, 1
399, 2, 0, 0
400, 3, 0, 3
401, 1, 1, 1
402, 4, 1, 2
403, 3, 4, 1
404, 2, 1, 3
405, 5, 3, 0
406, 2, 4, 1
407, 3, 0, 2
408, 3, 3, 0
409, 2, 0, 4
410, 1, 2, 4
411, 3, 2, 1
412, 1, 2, 2
413, 1, 3, 2
414, 3, 3, 2
415, 1, 3, 3
416, 4, 3, 3
417, 5, 1, 1
418, 5, 1, 1
