# nr otworu, promien
0, 2
1, 6
2, 5
3, 2
4, 3
5, 1
6, 6
7, 5
8, 2
9, 2
10, 6
11, 5
12, 0
13, 3
14, 5
15, 7
16, 4
17, 2
18, 2
19, 0
20, 5
21, 2
22, 5
23, 2
24, 2
25, 4
26, 6
27, 5
28, 2
29, 1
30, 3
31, 3
32, 7
33, 2
34, 4
35, 4
36, 3
37, 4
38, 1
39, 0
40, 4
41, 7
42, 4
43, 1
44, 6
45, 1
46, 3
47, 3
48, 1
49, 1
50, 5
51, 5
52, 6
53, 2
54, 3
55, 3
56, 5
57, 7
58, 7
59, 2
60, 7
61, 6
62, 5
63, 5
64, 6
65, 7
66, 3
67, 1
68, 4
69, 6
70, 2
71, 0
72, 5
73, 5
74, 0
75, 2
76, 5
77, 6
78, 0
79, 1
80, 0
81, 4
82, 1
83, 7
84, 7
85, 6
86, 6
87, 4
88, 0
89, 3
90, 1
91, 1
92, 1
93, 4
94, 2
95, 2
96, 2
97, 7
98, 6
99, 7
